ADDRESS1,ADDRESS2,ADDRESS3,AREA,CATEGORY,CE_CATEGORY,CITY,CLOSE_DATE,COLLECTION_DAY,CREATED_BY,CREATED_BY_USER,CREATION_DATE,DEPARTMENT,DISTRICT,DIVISION,FOLLOWUP_DATE,FULL_ADDRESS,GROUP_NAME,INCIDENT_ID,INCIDENT_NUMBER,INCIDENT_RESOLVED_DATE,INCIDENT_TYPE_ID,LAST_MODIFIED_DATE,LAST_UPDATE_DATE,LAST_UPDATE_LOGIN,LAST_UPDATED_BY,Location 1,MAP_PAGE,MLGW_ON,MLGW_STATUS,NEXT_OPEN_TASK_DATE,NUMBER_OF_TASKS,OWNER_NAME,PARCEL_ID,POSTAL_CODE,REPORTED_DATE,REQUEST_PRIORITY,REQUEST_STATUS,REQUEST_TYPE,RESOLUTION_CODE,RESOLUTION_CODE_MEANING,RESOLUTION_SUMMARY,SR_CREATION_CHANNEL,STATE,STREET_NAME,SUB_DISTRICT,SWM_CODE,TARGET_BLOCK,ZONE,location1,SUMMARY_1,City Council Districts,South City,SC Quarter Mile Buffer,Memphis 3.0 Planning Districts,Shelby County Zip Codes
1415 TITUS RD,,,C,Garbage,,MEMPHIS,,Tuesday,,,11/15/2024 12:43:06 PM,Solid Waste Management,,Solid Waste Management,,1415 TITUS RD MEMPHIS TENNESSEE,Memphis,7182952,7182952,,10432,,11/15/2024 03:23:13 PM,,jjackson_AWPM,1415 TITUS RD,,,A,,,,058109  00020,,11/15/2024 12:41:00 PM,Low,Open,SWM-Garbage Missed,,,,WEB,Tennessee,TITUS RD,,,,C2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
7108 SHADOW OAKS DR,,,E,Cart Maintenance,,MEMPHIS,,Tuesday,,,11/15/2024 02:41:21 PM,Solid Waste Management,,Solid Waste Management,,7108 SHADOW OAKS DR MEMPHIS TENNESSEE,Memphis,7183006,7183006,,12747,,11/15/2024 03:23:13 PM,,jjackson_AWPM,7108 SHADOW OAKS DR,,,A,,,,093523 K00046,,11/15/2024 02:38:00 PM,Low,Open,SWM-Missing Recycle Cart,,,,WEB,Tennessee,SHADOW OAKS DR,,,,E1,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
752 DELLROSE DR,,,D,Garbage,,MEMPHIS,,Thursday,,,11/15/2024 09:47:07 AM,Solid Waste Management,,Solid Waste Management,,752 DELLROSE DR MEMPHIS TENNESSEE,Memphis,7182834,7182834,,10431,,11/15/2024 03:23:13 PM,,jjackson_AWPM,752 DELLROSE DR,,,A,,,,077032  00025,,11/15/2024 09:45:00 AM,Low,Open,SWM-Missed Bulk Trash,,,,WEB,Tennessee,DELLROSE DR,,,,D2,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
1613 WINFIELD AVE,,,D,Billing,,MEMPHIS,,Tuesday,,,11/15/2024 09:26:52 AM,Solid Waste Management,,Solid Waste Management,,1613 WINFIELD AVE MEMPHIS TENNESSEE,Memphis,7182811,7182811,,10442,,11/15/2024 03:23:13 PM,,jjackson_AWPM,1613 WINFIELD AVE,,,A,,,,079160  00001,,11/15/2024 09:23:00 AM,Low,Open,SWM-New Start Garbage Request,,,,WEB,Tennessee,WINFIELD AVE,,,,D3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
1184 COVINGTON PIKE,,,,,,Memphis,,,,,11/15/2024 03:39:25 PM,ENVIRONMENTAL ENFORCEMENT,,Public Works,,1184 COVINGTON PIKE  MEMPHIS TN 38122,MEMPHIS,31747,50076424,,31747,,11/15/2024 03:39:25 PM,,,1184 COVINGTON PIKE,,,,,,,088072  00010,38122,11/15/2024 09:38:47 AM,Low,In Progress,EE-Illegal Dumping,VOPO,,,WEB,TN,COVINGTON PIKE,,,47,,POINT (-89.923883 35.154861),Not Applicable,4,,,6,20
1604 LOOKOUT DR,,,A,Garbage,,MEMPHIS,11/15/2024 12:00:00 AM,Thursday,,,11/15/2024 11:07:39 AM,Solid Waste Management,,Solid Waste Management,,1604 LOOKOUT DR MEMPHIS TENNESSEE,Memphis,7182890,7182890,,10432,,11/15/2024 03:07:55 PM,,,1604 LOOKOUT DR,,,,,,,070038  00014,,11/15/2024 11:04:00 AM,Low,Closed,SWM-Garbage Missed,SWMGM1,,pu,WEB,Tennessee,LOOKOUT DR,,,,A3,POINT (-90.0521356 35.1433781),Not Applicable,6,,1,8,3
"2193 Stephanie Ave, Memphis TN 38127, United States",,,A,Billing,,MEMPHIS,,Thursday,,,11/15/2024 08:16:12 AM,Solid Waste Management,,Solid Waste Management,,"2193 STEPHANIE AVE, MEMPHIS TN 38127, UNITED STATES",MEMPHIS,7182744,7182744,,10442,,11/15/2024 03:23:13 PM,,jjackson_AWPM,"2193 STEPHANIE AVE, MEMPHIS TN 38127, UNITED STATES",,,I,,,,072089  00008,,11/14/2024 06:00:00 PM,Medium,Open,SWM-New Start Garbage Request,,,,WEB,TN,STEPHANIE AVE,,,,A2,POINT (-90.04925 35.14976),Not Applicable,7,,,8,5
3966 PARK AVE,,,,Others,,MEMPHIS,11/15/2024 05:00:00 PM,,,,11/15/2024 02:18:03 PM,ENVIRONMENTAL MAINTENANCE,,Public Works,,3966 PARK AVE MEMPHIS TENNESSEE 38111,MEMPHIS,50076409,50076409,,10687,,11/15/2024 05:12:53 PM,,,3966 PARK AVE,045,,,,,,046050  00030C,38111,11/15/2024 08:17:07 AM,Low,Closed,EMI-Sewage Spill/Overflow,,,"MT-238
CLEARED MH O/F @ PARK & GOODLETT/FLUSHING EAST 250.GREASE WAS THE STOPPAGE",WEB,Tennessee,PARK AVE,,,,,POINT (-89.94286 35.1124),Not Applicable,4,,,9,10
605 E MALLORY AVE,,,,Weeds,,MEMPHIS,,,,,11/15/2024 09:47:25 AM,GROUNDS MAINTENANCE,,Public Works,11/23/2024 03:46:39 AM,605 E MALLORY AVE MEMPHIS TN 38106,MEMPHIS,50076341,50076341,,10204,,11/15/2024 09:47:25 AM,,,605 E MALLORY AVE,,,,,,,049061  00009,38106,11/15/2024 09:47:25 AM,Low,In Progress,CW-Weeds Vacant Houses,VIOLATION,,Property in Violation,WEB,TN,E MALLORY AVE,,,133,,POINT (-90.05211 35.11597),Not Applicable,6,,1,14,6
"2193 Stephanie Ave, Memphis TN 38127, United States",,,A,Cart Maintenance,,MEMPHIS,,Thursday,,,11/15/2024 08:18:13 AM,Solid Waste Management,,Solid Waste Management,,"2193 STEPHANIE AVE, MEMPHIS TN 38127, UNITED STATES",MEMPHIS,7182747,7182747,,12748,,11/15/2024 03:23:13 PM,,jjackson_AWPM,"2193 STEPHANIE AVE, MEMPHIS TN 38127, UNITED STATES",,,I,,,,072089  00008,,11/14/2024 06:00:00 PM,Medium,Open,SWM-Recycle Cart Delivery,,,,WEB,TN,STEPHANIE AVE,,,,A2,POINT (-90.04925 35.14976),Not Applicable,7,,,8,5
